favorecido,pf_ou_pj,qtd_pagamentos,total_recebido,ticket_medio
JOAO SILVA,PF,514,514948.03,1001.84
MARIA SOUZA,PF,524,492077.29,939.08
TRANSPORTADORA EXPRESSO BR,PJ,523,489914.91,936.74
POSTO IPIRANGA DA UFMG LTDA,PJ,526,461585.31,877.54
OFICINA MECANICA SERTAO LTDA,PJ,504,429960.62,853.1
TAXI COOPERATIVA MG,PJ,498,419968.13,843.31
MERCADO CENTRAL ATACADO,PJ,508,417028.08,820.92
HOTEL CIDADE LTDA,PJ,543,379768.02,699.39
PEDRO COSTA,PF,528,356906.41,675.96
FERRAGENS BELO HORIZONTE ME,PJ,501,350197.92,699.0
